,game_id,date,home,home_goals,away,away_goals,hoa,result,result_bool,Game,Team,TOI,CF_avg,CA_avg,CF%_avg,FF_avg,FA_avg,FF%_avg,SF_avg,SA_avg,SF%_avg,GF_avg,GA_avg,GF%_avg,xGF_avg,xGA_avg,xGF%_avg,SCF_avg,SCA_avg,SCF%_avg,HDCF_avg,HDCA_avg,HDCF%_avg,HDSF_avg,HDSA_avg,HDSF%_avg,HDGF_avg,HDGA_avg,HDGF%_avg,HDSH%_avg,HDSV%_avg,MDCF_avg,MDCA_avg,MDCF%_avg,MDSF_avg,MDSA_avg,MDSF%_avg,MDGF_avg,MDGA_avg,MDGF%_avg,MDSH%_avg,MDSV%_avg,LDCF_avg,LDCA_avg,LDCF%_avg,LDSF_avg,LDSA_avg,LDSF%_avg,LDGF_avg,LDGA_avg,LDGF%_avg,LDSH%_avg,LDSV%_avg,SH%_avg,SV%_avg,PDO_avg,blocks_avg
0,2016020001,2016-10-12,Senators,5,Maple Leafs,4,H,H_reg,1,"2016-10-12 - Maple Leafs 4, Senators 5",Ottawa Senators,60.616666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2016020002,2016-10-12,Blackhawks,2,Blues,5,H,A_reg,0,"2016-10-12 - Blues 5, Blackhawks 2",Chicago Blackhawks,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2016020003,2016-10-12,Oilers,7,Flames,4,H,H_reg,1,"2016-10-12 - Flames 4, Oilers 7",Edmonton Oilers,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2016020004,2016-10-12,Sharks,2,Kings,1,H,H_reg,1,"2016-10-12 - Kings 1, Sharks 2",San Jose Sharks,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2016020005,2016-10-13,Sabres,1,Canadiens,4,H,A_reg,0,"2016-10-13 - Canadiens 4, Sabres 1",Buffalo Sabres,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2016020006,2016-10-13,Rangers,5,Islanders,3,H,H_reg,1,"2016-10-13 - Islanders 3, Rangers 5",New York Rangers,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2016020007,2016-10-13,Penguins,3,Capitals,2,H,H_reg,1,"2016-10-13 - Capitals 2, Penguins 3",Pittsburgh Penguins,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2016020008,2016-10-13,Blue Jackets,3,Bruins,6,H,A_reg,0,"2016-10-13 - Bruins 6, Blue Jackets 3",Columbus Blue Jackets,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2016020009,2016-10-13,Lightning,6,Red Wings,4,H,H_reg,1,"2016-10-13 - Red Wings 4, Lightning 6",Tampa Bay Lightning,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2016020010,2016-10-13,Panthers,2,Devils,1,H,H_reg,1,"2016-10-13 - Devils 1, Panthers 2",Florida Panthers,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2016020011,2016-10-13,Blues,3,Wild,2,H,H_reg,1,"2016-10-13 - Wild 2, Blues 3",St Louis Blues,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2016020012,2016-10-13,Jets,5,Hurricanes,4,H,H_reg,1,"2016-10-13 - Hurricanes 4, Jets 5",Winnipeg Jets,62.683333333332996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2016020013,2016-10-13,Stars,4,Ducks,2,H,H_reg,1,"2016-10-13 - Ducks 2, Stars 4",Dallas Stars,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2016020014,2016-10-14,Predators,3,Blackhawks,2,H,H_reg,1,"2016-10-14 - Blackhawks 2, Predators 3",Nashville Predators,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2016020015,2016-10-14,Flames,3,Oilers,5,H,A_reg,0,"2016-10-14 - Oilers 5, Flames 3",Calgary Flames,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2016020016,2016-10-14,Kings,2,Flyers,4,H,A_reg,0,"2016-10-14 - Flyers 4, Kings 2",Los Angeles Kings,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2016020017,2016-10-15,Maple Leafs,4,Bruins,1,H,H_reg,1,"2016-10-15 - Bruins 1, Maple Leafs 4",Toronto Maple Leafs,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
